date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:15:12	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1726034983-ssl-df	https://mack-html.netlify.app/robots.txt		(from )
08:15:12	62494/62494	---MCZ	200	added ('OK')	text/html	etag:%22c12c8ebed59f13d699a62d8c8dff0e8b-ssl-df%22	https://mack-html.netlify.app/	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/index.html	(from )
08:15:13	2627/2627	---M--	200	added ('OK')	image/png	etag:%22c1685993bd2358a3d027293de96b6b83-ssl%22	https://mack-html.netlify.app/assets/img/preview-template/preview-template.png	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/preview-template/preview-template.png	(from https://mack-html.netlify.app/)
08:15:14	850/850	---M--	200	added ('OK')	image/svg+xml	etag:%22ab84a1093b79d8d37a05de8b44551565-ssl%22	https://mack-html.netlify.app/assets/img/logo/favicon.svg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/logo/favicon.svg	(from https://mack-html.netlify.app/)
08:15:15	850/850	---M--	200	added ('OK')	image/svg+xml	etag:%22ab84a1093b79d8d37a05de8b44551565-ssl%22	https://mack-html.netlify.app/assets/img/logo/icon.svg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/logo/icon.svg	(from https://mack-html.netlify.app/)
08:15:16	2540/2540	---M-Z	200	added ('OK')	text/css	etag:%22de9be711fe3d8120a0889b173f9f7089-ssl-df%22	https://mack-html.netlify.app/assets/all-icons/myicon.css	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/all-icons/myicon.css	(from https://mack-html.netlify.app/)
08:15:18	232902/232902	---MCZ	200	added ('OK')	text/css	etag:%226103ad7a46c8541bf9733a841208d2a0-ssl-df%22	https://mack-html.netlify.app/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/css/bootstrap.min.css	(from https://mack-html.netlify.app/)
08:15:19	102555/102555	---MCZ	200	added ('OK')	text/css	etag:%226ff89277f1e47a277b86c290ff0e7dee-ssl-df%22	https://mack-html.netlify.app/assets/css/plugins.css	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/css/plugins.css	(from https://mack-html.netlify.app/)
08:15:20	84376/84376	---MCZ	200	added ('OK')	text/css	etag:%22dd33d08441ae25eee4a5734a5e991698-ssl-df%22	https://mack-html.netlify.app/assets/css/style.min.css	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/css/style.min.css	(from https://mack-html.netlify.app/)
08:15:21	30602/30602	---MCZ	200	added ('OK')	text/css	etag:%228d9daf30ccce28fe5a35f3c1958f5362-ssl-df%22	https://mack-html.netlify.app/assets/css/responsive.min.css	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/css/responsive.min.css	(from https://mack-html.netlify.app/)
